*,AA,KK,QQ,JJ,TT,99,88,AKs,77,AQs,AJs,AKo,ATs,AQo,AJo,KQs,66,A9s,ATo,KJs,A8s,KTs,KQo,A7s,A9o,KJo,55,QJs,K9s,A5s,A6s,A8o,KTo,QTs,A4s,A7o,K8s,A3s,QJo,K9o,A5o,A6o,Q9s,K7s,JTs,A2s,QTo,44,A4o,K6s,K8o,Q8s,A3o,K5s,J9s,Q9o,JTo,K7o,A2o,K4s,Q7s,K6o,K3s,T9s,J8s,33,Q6s,Q8o,K5o,J9o,K2s,Q5s,T8s,K4o,J7s,Q4s,Q7o,T9o,J8o,K3o,Q6o,Q3s,98s,T7s,J6s,K2o,22,Q2s,Q5o,J5s,T8o,J7o,Q4o,97s,J4s,T6s,J3s,Q3o,98o,87s,T7o,J6o,96s,J2s,Q2o,T5s,J5o,T4s,97o,86s,J4o,T6o,95s,T3s,76s,J3o,87o,T2s,85s,96o,J2o,T5o,94s,75s,T4o,93s,86o,65s,84s,95o,T3o,92s,76o,74s,T2o,54s,85o,64s,83s,94o,75o,82s,73s,93o,65o,53s,63s,84o,92o,43s,74o,72s,54o,64o,52s,62s,83o,42s,82o,73o,53o,63o,32s,43o,72o,52o,62o,42o,32o
AA,0.00408163,3.1539,3.11482,3.07573,3.03665,3.04757,3.00849,1.24439,3.01036,1.23138,1.21836,4.25357,1.20535,4.21089,4.16821,2.16723,3.00808,1.2631,4.12553,2.14083,1.25008,2.11442,7.32143,1.2501,4.31332,7.23572,3.05031,2.03348,2.1536,1.20631,1.25656,4.27064,7.15,2.00707,1.21937,4.27073,2.23133,1.23243,6.89221,7.27251,4.12877,4.29177,2.04625,2.20493,1.89972,1.24549,6.8065,3.0934,4.1717,2.20414,7.52213,2.12399,4.21472,2.22094,1.93891,6.92901,6.46299,7.43671,4.25784,2.24744,2.20498,7.43418,2.27394,1.83156,2.01665,3.13675,2.17773,7.17863,7.48857,6.5855,2.30044,2.19453,1.9093,7.57491,2.09763,2.22104,7.43659,6.242,6.83512,7.66149,7.34847,2.24754,1.84099,1.99028,2.17778,7.7484,3.18041,2.27403,7.40285,2.16813,6.49162,7.09309,7.4892,1.92198,2.19463,2.07043,2.22113,7.57579,6.27546,1.81464,6.74958,7.34837,2.00213,2.24763,7.66268,2.16818,7.31716,2.16822,6.53345,1.89479,7.4035,7.00485,2.09987,2.19472,1.8139,7.49008,6.18994,2.22122,1.99253,6.78871,7.57697,7.31704,2.20731,1.91165,7.31779,2.20735,6.4452,1.81232,2.09997,7.10088,7.40436,2.23385,6.18759,2.01909,7.49127,1.90409,6.7574,1.91976,2.20741,7.44504,6.49979,2.20745,2.12652,7.44601,6.18275,2.01154,2.0272,7.10153,7.5329,2.03814,6.84392,2.23397,6.47786,6.5269,2.11897,2.13464,7.44592,2.14559,7.44721,7.18828,6.82225,6.87127,2.17224,6.90859,7.53298,7.16695,7.21597,7.25329,7.33987
KK,-3.10492,0.00408163,3.1528,3.11371,3.07463,3.04326,3.04861,0.527138,3.00956,1.20193,1.17829,1.97197,1.15465,4.31788,4.24057,1.18798,3.01148,1.19498,4.16327,1.17496,1.19643,1.16195,4.0703,1.17279,4.28904,4.02762,3.01073,2.12548,1.2197,1.10444,1.19653,4.29398,3.98494,2.09908,1.12817,4.21671,1.26273,1.1519,7.18781,4.17256,3.99719,4.29416,2.11898,1.24971,1.99173,1.17563,7.1021,3.05382,4.07512,1.24973,4.31221,2.14438,4.15331,1.24891,2.01163,7.16428,6.7586,4.26954,4.23182,1.26198,2.22212,4.26965,1.27504,1.90429,2.03704,3.09717,2.19571,7.24238,4.267,6.82078,1.28809,2.19406,1.92969,4.30994,2.11478,2.22055,7.49204,6.47728,6.89887,4.35295,7.40667,2.24705,1.86139,2.00743,2.19576,4.39608,3.14083,2.27355,7.40142,2.16765,6.55537,7.14853,7.48776,1.91405,2.19415,2.08841,2.22064,7.57434,6.33898,1.84061,6.80503,7.40656,1.99503,2.24714,7.66125,2.16769,7.31571,2.16774,6.50729,1.92159,7.40205,7.06305,2.07432,2.19424,1.81426,7.48863,6.27434,2.22073,2.00088,6.76532,7.57554,7.31561,2.18175,1.89354,7.31634,2.1818,6.53237,1.81268,2.10832,7.01787,7.40291,2.2083,6.1889,2.00098,7.48982,1.81113,6.78493,1.92012,2.21575,7.362,6.44146,2.2158,2.10842,7.36298,6.18389,1.91858,2.02756,7.12906,7.44987,1.94518,6.78559,2.21586,6.17938,6.52802,2.02601,2.13499,7.47344,2.05263,7.47474,7.12996,6.52377,6.8724,2.07928,6.61011,7.47466,6.86847,7.2171,6.95481,7.04138
QQ,-3.06584,-3.10382,0.00408163,3.1559,3.11682,3.07987,3.0485,0.274384,3.05388,0.521636,1.19348,1.37294,1.16984,1.95415,4.29055,0.486903,3.01489,1.21017,4.21324,1.18633,1.18932,1.16269,1.84024,1.19958,4.33902,4.26918,3.01413,1.12401,1.20303,1.10755,1.19963,4.27079,4.19187,1.11099,1.13128,4.30405,1.22958,1.155,3.86248,4.31765,4.00708,4.30405,1.16862,1.23103,2.08456,1.17874,3.81981,3.05723,4.08502,1.20739,4.39903,1.21164,4.16321,1.20574,2.10179,4.00701,7.05696,4.40401,4.24171,1.22947,1.25467,4.32678,1.2532,1.99444,2.1106,3.10056,1.24165,4.14649,4.32155,7.11074,1.27693,1.24083,2.00326,4.39948,2.13601,1.25389,4.28616,6.76724,7.13693,4.47766,4.2435,1.26695,1.90988,2.02866,2.21374,4.55618,3.14424,1.28001,4.24086,2.18563,6.79343,7.21505,4.28379,1.93528,2.21213,2.1064,2.23863,4.32681,6.49569,1.86184,6.87154,7.46476,2.00961,2.26513,4.36993,2.18568,7.37392,2.18572,6.57381,1.9145,7.46026,7.12126,2.08889,2.21223,1.84107,7.54683,6.34062,2.23872,1.99378,6.81236,7.63374,7.37382,2.19633,1.92035,7.37454,2.19638,6.509,1.81304,2.10122,7.06491,7.46112,2.22288,6.27609,2.02779,7.54803,1.81149,6.76155,1.92048,2.20866,7.40904,6.52863,2.20871,2.13523,7.41002,6.18522,1.91894,2.02792,7.10568,7.49693,1.94553,6.87276,2.24266,6.18072,6.52935,2.02637,2.13535,7.45005,2.05299,7.45136,7.21714,6.52508,6.87374,2.07964,6.61142,7.56184,6.86978,7.21844,6.95612,7.04272
JJ,-3.02675,-3.06473,-3.10692,0.00408163,3.15777,3.12081,3.08387,0.280085,3.05254,0.285094,0.514077,1.3912,1.1805,1.40532,1.92973,0.255987,3.05797,1.22083,4.2488,0.47934,1.19657,1.17335,1.31547,1.18793,4.37458,1.81583,3.01629,0.433002,1.21369,1.10612,1.22188,4.29518,4.22745,1.14273,1.12985,4.26644,1.24024,1.15358,1.66382,4.35321,4.00255,4.37697,1.18307,1.21938,1.05904,1.17731,4.12947,3.05939,4.08051,1.22965,4.43459,1.20962,4.15868,1.20432,1.1164,4.25525,3.65148,4.36637,4.23719,1.22804,1.23618,4.39972,1.25177,2.0865,1.15929,3.10274,1.23762,4.33661,4.31702,3.83785,1.2755,1.21228,2.09264,4.39496,1.20232,1.23602,4.41804,7.06313,3.97693,4.47315,4.42307,1.25975,1.99585,2.10145,1.24535,4.55165,3.1464,1.28347,4.34038,1.23149,7.08092,4.11642,4.41831,2.00467,1.24455,2.12686,1.25761,4.4965,6.77202,1.90956,7.10713,4.25609,2.03007,1.27067,4.57501,2.20289,4.21071,2.20294,6.79823,1.93496,4.25364,7.18531,2.1061,2.22943,1.86152,4.29666,6.49485,2.25593,2.00759,6.87642,4.33978,7.42954,2.21354,1.91249,7.43028,2.21359,6.57304,1.83907,2.11502,7.12065,7.51686,2.24008,6.33988,2.01992,7.60377,1.81107,6.80613,1.94651,2.22247,7.46478,6.50279,2.22251,2.12737,7.46576,6.26992,1.91852,2.05396,7.15026,7.55267,1.94512,6.84692,2.2348,6.17958,6.61407,2.02596,2.16139,7.49462,2.05257,7.49593,7.19128,6.52394,6.95843,2.07923,6.61029,7.53598,6.86864,7.30313,6.95498,7.04156
TT,-2.98767,-3.02565,-3.06784,-3.10879,0.00408163,3.1593,3.12235,0.281665,3.08543,0.286674,0.291683,1.39627,0.504454,1.4104,1.42452,0.257567,3.05416,1.22696,1.89872,0.262576,1.2027,0.469976,1.32057,1.19066,4.39572,1.33469,3.0569,0.212682,1.22008,1.12385,1.20571,4.31634,1.78564,0.423638,1.12389,4.27643,1.24663,1.14762,1.17667,4.37519,4.06107,4.32494,1.18971,1.22237,0.377401,1.17135,1.63364,3.05909,4.06156,1.21373,4.45656,1.21626,4.13976,1.2223,1.15954,4.27803,1.48194,4.37719,4.21826,1.22234,1.24282,4.34851,1.24607,1.06318,1.1861,3.10244,1.22196,4.35942,4.37637,4.18152,1.2698,1.23052,1.10582,4.37686,1.21266,1.23058,4.44082,3.66551,4.26289,4.45503,4.37266,1.2543,2.08637,1.14871,1.23922,4.53353,3.1461,1.27803,4.40052,1.23896,3.80376,4.34429,4.40103,2.0925,1.23901,1.19174,1.26274,4.4792,7.06297,1.99399,3.94284,4.42576,2.10132,1.28647,4.55771,1.23392,4.42533,1.23394,7.08078,2.0028,4.42582,4.08235,2.12502,1.247,1.9077,4.50401,6.76626,1.26007,2.0265,7.10706,4.58251,4.21928,2.22921,1.9314,4.21947,2.22926,6.79253,1.85799,2.13069,7.17976,4.26249,2.25575,6.48917,2.03219,4.30561,1.83557,6.86523,1.9371,2.23813,7.51559,6.56187,2.23818,2.13962,7.51655,6.32879,1.94301,2.04455,7.20104,7.60345,1.94316,6.88655,2.24706,6.25932,6.58327,2.05045,2.15198,7.54542,2.05061,7.54672,7.23092,6.6037,6.92763,2.07727,6.60419,7.57561,6.9484,7.27233,6.94889,7.03547
99,-2.99859,-2.99428,-3.03089,-3.07183,-3.11032,0.00408163,3.15292,0.184686,3.116,0.192464,0.197479,1.0817,0.202488,1.10424,1.11836,0.18334,3.07914,0.543664,1.13249,0.188349,1.16488,0.193365,1.07687,1.15284,2.02786,1.09099,3.04518,0.141146,0.510087,1.06373,1.16449,4.19783,1.10512,0.146155,1.09768,4.15792,1.20942,1.09772,0.941349,1.91784,3.86937,4.19526,0.464261,1.18515,0.0964637,1.12146,0.955494,3.09179,3.98041,1.17311,4.33994,1.17957,3.98116,1.16278,0.418282,1.76748,0.798073,4.26058,4.05966,1.19672,1.20612,4.22073,1.19677,0.372405,1.14992,3.09422,1.18186,4.24445,4.18656,1.6166,1.2205,1.17152,1.12048,4.29761,1.17648,1.20547,4.32586,1.46604,4.14959,4.29833,4.24655,1.20552,1.05861,1.14704,1.20303,4.37684,3.13789,1.22925,4.21238,1.18047,4.05533,4.23099,4.32343,1.10124,1.21443,1.17359,1.21447,4.32415,3.65111,2.08135,4.13674,4.31244,1.14414,1.2382,4.40266,1.19845,4.23881,1.22358,3.78936,2.08748,4.34986,4.21818,1.18632,1.22363,1.98897,4.3506,7.04703,1.24735,2.0946,3.92847,4.42911,4.29418,1.24238,1.99609,4.37691,1.24241,7.06489,1.901,2.14645,4.06524,4.37766,1.25547,6.75039,2.04795,4.45616,1.85132,7.08568,1.95286,2.25064,4.24775,6.77117,2.25069,2.15214,4.24802,6.46789,1.93045,2.05365,7.24998,4.29114,1.9645,6.93547,2.25957,6.308,6.63219,2.03788,2.16108,7.58604,2.07195,7.58733,7.27153,6.56274,6.95708,2.07216,6.67376,7.61623,6.90742,7.30178,7.01846,7.01921
88,-2.95951,-2.99963,-2.99952,-3.03489,-3.07337,-3.10394,0.00408163,0.178018,3.14161,0.185802,0.190811,1.06021,0.19582,1.08298,1.0971,0.100056,3.10476,0.297162,1.11123,0.10784,0.528885,0.112849,0.807223,1.1499,1.43906,0.829753,3.0652,0.0781845,0.214452,1.05738,1.16154,1.98038,0.843879,0.0831935,1.07242,4.1502,0.534805,1.10638,0.735007,1.17253,3.85048,4.18754,0.185051,1.14793,0.0364473,1.10642,0.749153,3.07511,3.89952,1.13589,1.99961,0.490011,4.0108,1.12215,0.138567,1.07861,0.60096,4.14401,4.01186,1.1372,1.16976,4.10416,1.17115,0.0895935,0.444676,3.12196,1.14549,1.85271,4.05884,0.931259,1.17119,1.13175,0.399187,4.10786,1.14088,1.1468,4.21201,0.776111,1.7039,4.21914,4.1327,1.18075,0.367193,1.11222,1.16744,4.2202,3.12471,1.18079,4.08737,1.14148,1.55456,4.11961,4.13639,1.11084,1.15653,1.13878,1.19047,4.24767,1.44951,1.05192,4.02783,4.20108,1.1374,1.19052,4.24872,1.16363,4.11628,1.16645,4.02503,1.09456,4.1653,4.10929,1.16225,1.2004,2.07324,4.27658,3.62992,1.20045,1.13662,4.10649,4.27764,4.18527,1.2125,2.07767,4.19483,1.23763,3.7682,1.97917,1.19268,4.18247,4.30613,1.23768,7.02124,2.11294,4.30719,1.89124,3.90456,2.01445,1.24874,4.34165,7.03363,1.24877,2.16479,4.42464,6.71918,1.94311,2.06631,4.08691,4.4257,1.97716,7.146,2.26898,6.43719,6.83156,2.04389,2.17049,4.26949,2.05629,4.26987,7.31054,6.60172,6.99609,2.09039,6.71254,7.64693,6.92695,7.33248,6.96758,7.07886
AKs,-1.8421,-0.766217,-0.362596,-0.371148,-0.373518,-0.228049,-0.218047,0.0122449,-0.201825,1.05439,1.04131,0.268614,1.02823,3.77578,3.73195,1.06181,-0.201394,1.05029,3.68812,1.04873,1.03802,1.03564,3.79709,1.02591,3.76692,3.75327,-0.168059,0.899794,1.12534,0.982873,1.03732,3.72563,3.70944,0.879876,1.00374,3.6848,1.1135,1.02475,3.27082,4.00833,3.54272,3.72139,0.960026,1.10194,0.800509,1.04591,3.20689,-0.113946,3.61065,1.10489,3.96835,1.01441,3.67926,1.12575,0.880653,3.46039,2.95623,3.92926,3.74863,1.14761,1.07357,3.93808,1.16976,0.801287,0.935033,-0.05328,1.04984,3.63321,4.00386,3.20973,1.19218,1.06877,0.855667,4.07485,0.994194,1.09105,3.81892,2.95907,3.38257,4.14695,3.74339,1.11372,0.857626,0.914828,1.04986,4.22026,0.0140376,1.13677,3.80164,1.04886,3.13191,3.56828,3.87319,0.838864,1.07113,0.970495,1.0938,3.94627,3.14686,0.76066,3.31762,3.74335,0.894531,1.11685,4.02099,1.04888,3.73771,1.05121,3.08646,0.816327,3.80926,3.4927,0.972911,1.07388,0.738514,3.88234,2.83931,1.09693,0.894707,3.26153,3.95706,3.73765,1.05465,0.816901,3.74533,1.05737,3.01438,0.740872,0.976438,3.50649,3.81839,1.08042,2.76842,0.898638,3.89311,0.75678,3.25934,0.822609,1.05856,3.76477,3.01338,1.06167,0.980754,3.77396,2.7756,0.838916,0.904731,3.5176,3.84868,0.861734,3.27164,1.06326,2.82283,3.03387,0.921417,0.987233,3.77738,0.944261,3.78824,3.53143,3.08262,3.29366,0.967549,3.15534,3.79286,3.34405,3.5551,3.41678,3.49101
77,-2.96138,-2.96058,-3.0049,-3.00356,-3.03645,-3.06702,-3.09263,0.167203,0.00408163,0.139938,0.147722,1.02542,0.152731,0.936882,0.959647,0.090018,3.12412,0.254073,0.973793,0.0977959,0.259082,0.102811,0.774955,0.516872,1.3016,0.79774,3.08458,-0.00821551,0.204408,1.04627,1.15043,1.31577,0.811866,-0.000437551,1.05791,1.94208,0.281718,1.07296,0.455432,1.14052,3.81686,4.15392,0.101427,0.518207,-0.0293747,1.10691,0.477982,3.0889,3.85473,1.12942,1.38979,0.178984,3.90399,1.11568,0.0727445,0.807438,0.385489,1.94635,4.0156,1.12732,0.513042,4.08523,1.14237,0.026978,0.150563,3.09904,1.105,1.05753,4.0399,0.715788,1.17632,1.09126,0.105058,4.07777,0.468862,1.1029,1.92912,0.570691,0.9667,4.12702,4.00575,1.11795,0.0814629,0.424147,1.12806,4.23864,3.14621,1.1519,3.96043,1.10209,0.822426,1.78418,3.99828,0.392669,1.11374,1.10042,1.12878,4.04754,0.750348,0.359608,1.63733,4.07767,1.10008,1.16274,4.15915,1.12528,3.99288,1.1247,1.53391,1.09654,4.03075,3.98919,1.12494,1.13975,1.04397,4.08,1.42528,1.17369,1.1214,3.98968,4.19161,4.06517,1.17518,1.08577,4.06356,1.178,3.97965,2.05954,1.17164,4.06566,4.11282,1.21195,3.60471,1.1417,4.22443,1.96551,4.05563,2.09213,1.22188,4.22482,3.74025,1.24701,1.19777,4.23464,6.97755,2.00079,2.1274,4.21481,4.34623,2.01317,3.92218,1.25383,6.67602,7.08153,2.05264,2.17925,4.37421,2.06504,4.45753,4.10461,6.78863,7.19416,2.09915,6.82924,4.2873,6.9535,7.35901,6.99411,7.10516
AQs,-1.81664,-1.7482,-0.755497,-0.377429,-0.379792,-0.238936,-0.228976,-1.02655,-0.160404,0.012205,1.02839,-2.91061,1.01535,0.26774,3.69196,1.41042,-0.169377,1.02095,3.64827,0.782314,1.00853,0.762461,5.04434,1.01435,3.67304,2.91357,-0.136159,0.987227,0.839792,0.954835,1.0093,3.63127,2.84985,0.974187,0.975442,3.65097,0.893989,0.996186,3.55133,3.09452,3.45478,3.63345,1.06359,0.882617,0.810571,1.01708,3.50766,-0.0822132,3.52189,0.858968,3.26679,1.05179,3.58966,0.877839,0.888488,3.80544,2.98391,3.23213,3.6582,0.900049,1.10751,3.15673,0.922643,0.80938,0.942692,-0.0217543,1.09421,3.76559,3.21479,3.23037,0.945621,1.115,0.863583,3.28611,1.01092,1.13679,3.94657,2.98053,3.40263,3.35895,3.90197,1.15886,0.787867,0.931808,1.06494,3.43343,0.0453442,1.18122,3.96754,1.06393,3.15281,3.61818,4.0383,0.856091,1.08614,0.985823,1.10873,4.11017,2.92228,0.778142,3.36836,3.78809,0.889894,1.13171,4.18324,1.06395,3.78247,1.06628,3.13783,0.811945,3.85381,3.53827,0.968026,1.08888,0.761302,3.92665,2.89146,1.11186,0.89007,3.24318,4.00111,3.78241,1.04949,0.839434,3.79007,1.05221,2.99682,0.743772,0.971541,3.48734,3.86291,1.07518,2.83958,0.920898,3.93739,0.759635,3.24098,0.82525,1.05339,3.74476,3.08374,1.05649,1.00275,3.75392,2.78293,0.841497,0.907098,3.49841,3.8284,0.864247,3.34116,1.08499,2.83001,3.04036,0.92373,0.989338,3.75736,0.9465,3.76816,3.6001,3.08895,3.29931,0.969718,3.16144,3.86068,3.34953,3.55989,3.42202,3.49601
AJs,-1.79135,-1.7073,-1.72994,-0.741781,-0.386024,-0.245635,-0.235698,-1.01022,-0.171484,-1.00073,0.0121655,-2.85823,0.979153,-2.83381,0.266871,0.598222,-0.128195,0.988453,3.53201,1.39643,0.975878,0.78038,2.34762,0.967363,3.5688,4.99702,-0.104467,1.30713,0.85746,0.909509,0.980175,3.52658,2.90342,0.707056,0.929854,3.4993,0.911487,0.950336,4.70505,3.14729,3.31013,3.54204,0.784136,0.879994,0.913129,0.970959,2.66976,-0.0506959,3.37642,0.881291,3.31901,0.838164,3.4434,0.880292,1.00224,2.91364,3.30717,3.21997,3.51111,0.90243,0.892866,3.22639,0.924944,0.81938,0.990477,0.00956691,0.876594,3.08535,3.22067,3.604,0.947848,0.875594,0.873408,3.29176,1.04601,0.897732,3.25906,3.00802,3.56426,3.36436,3.20936,0.920253,0.777791,0.939452,1.09978,3.4386,0.0764574,0.943157,3.20364,1.10432,3.17974,3.74454,3.27473,0.843835,1.12604,1.00252,1.14804,3.34733,2.88561,0.766131,3.3884,3.91931,0.9069,1.17033,3.42157,1.07894,3.93146,1.08126,3.09427,0.829204,4.00199,3.58811,0.980146,1.10378,0.778725,4.07362,2.84872,1.12668,0.902449,3.29398,4.14645,3.8269,1.06135,0.834991,3.83453,1.06405,3.04843,0.766469,0.98365,3.52263,3.90713,1.08696,2.89156,0.916198,3.98137,0.762466,3.27708,0.847682,1.06523,3.77921,3.066,1.06833,0.997781,3.78836,2.8538,0.844068,0.929265,3.53366,3.8626,0.866738,3.32261,1.07975,2.83714,3.1104,0.926034,1.01123,3.79177,0.94873,3.80253,3.58071,3.09524,3.36851,0.971867,3.16749,3.84045,3.35498,3.62824,3.42723,3.50098
AKo,-2.1023,-0.961494,-0.637489,-0.646619,-0.649156,-0.491873,-0.481127,-0.0732114,-0.463729,0.997861,0.983456,0.0285714,0.969051,3.62114,3.57305,1.01257,-0.464189,0.989745,3.52497,0.998136,0.976251,0.983691,3.67698,0.962875,3.59875,3.6289,-0.427807,0.739278,1.07773,0.916325,0.975056,3.55336,3.58081,0.718224,0.938802,3.5085,1.06485,0.96143,2.95517,3.8926,3.35535,3.54726,0.79998,1.05205,0.635827,0.984216,2.88619,-0.370403,3.42798,1.05497,3.84864,0.855151,3.50124,1.07813,0.717584,3.14717,2.61974,3.8056,3.5752,1.10173,0.916996,3.81412,1.12563,0.635187,0.772754,-0.306171,0.891794,3.3234,3.88647,2.88074,1.14984,0.91279,0.690358,3.96235,0.834599,0.936366,3.52295,2.6143,3.05697,4.03933,3.44107,0.960346,0.690847,0.752196,0.89182,4.11744,-0.235024,0.984738,3.50696,0.891742,2.79054,3.25652,3.58384,0.671419,0.915311,0.809424,0.939291,3.6622,2.80408,0.590296,2.99009,3.44089,0.72864,0.963683,3.74214,0.891762,3.43798,0.894256,2.73898,0.647517,3.51485,3.17447,0.810984,0.918237,0.566818,3.59322,2.47637,0.942635,0.729861,2.92336,3.67316,3.4378,0.895896,0.649162,3.44587,0.898802,2.66077,0.569313,0.814779,3.18669,3.52424,0.9232,2.39943,0.73408,3.60417,0.588284,2.92408,0.65423,0.900108,3.46102,2.66277,0.903425,0.819409,3.47058,2.40676,0.67362,0.739559,3.19843,3.55051,0.697704,2.93709,0.905149,2.46826,2.6811,0.75936,0.8253,3.47424,0.783458,3.48537,3.21292,2.74407,2.95692,0.808013,2.8222,3.49029,3.02145,3.23428,3.09957,3.17917
ATs,-1.76623,-1.66667,-1.68924,-1.70507,-0.725088,-0.252281,-0.242377,-0.994002,-0.17837,-0.984534,-0.951735,-2.8062,0.0121261,-2.78187,-2.6811,0.601572,-0.139344,0.941049,0.266008,0.598849,0.928317,1.38253,2.35629,0.918243,3.41574,2.34535,-0.0636281,0.537067,0.875014,0.864087,0.916734,3.37304,4.95001,1.29352,0.868045,3.34064,0.928867,0.888267,2.14731,3.19972,3.16534,3.33649,0.801927,0.894319,1.20452,0.908629,4.65899,-0.0193824,3.17778,0.878681,3.37086,0.85578,3.24393,0.902474,0.728847,2.96682,4.36796,3.26206,3.31084,0.904789,0.910312,3.21429,0.927237,0.941287,0.7827,0.0406952,0.874005,3.13799,3.2899,2.73394,0.950066,0.897791,0.929563,3.29737,0.837226,0.900113,3.31113,3.40385,2.90509,3.36974,3.19732,0.922555,0.784698,0.984922,0.886836,3.44374,0.10736,0.945384,3.27292,0.893116,3.36425,3.07823,3.28041,0.850529,0.895431,1.03851,0.917879,3.35276,2.9032,0.773083,3.54395,3.23627,0.911444,0.940708,3.42676,1.10984,3.25595,1.11536,3.11119,0.833998,3.26344,3.71803,0.996805,1.13729,0.766752,3.33581,2.86644,1.1595,0.91936,3.3041,3.40978,3.94865,1.07629,0.852126,3.96591,1.07898,3.05935,0.783819,0.998842,3.57235,4.03731,1.10181,2.84896,0.928446,4.10991,0.785028,3.3276,0.843227,1.08016,3.82357,3.11723,1.08325,1.00977,3.83269,2.90559,0.866361,0.924546,3.57881,3.90666,0.869219,3.35831,1.09147,2.90761,3.09264,0.948068,1.00625,3.83608,0.950939,3.84681,3.61558,3.16488,3.34991,0.974008,3.17351,3.87448,3.42377,3.60881,3.43241,3.50592
AQo,-2.07418,-2.1031,-0.949484,-0.651554,-0.654083,-0.5015,-0.490906,-1.23009,-0.418096,-0.0729731,0.972088,-3.53613,0.957735,0.0284784,3.53778,1.34499,-0.428426,0.960469,3.48985,0.61395,0.946819,0.593002,4.83667,0.952477,3.50506,2.56435,-0.392153,0.932236,0.671902,0.888039,0.946779,3.45913,2.49559,0.917844,0.910238,3.47803,0.726939,0.932592,3.41398,2.7476,3.26647,3.45837,1.01157,0.714819,0.649308,0.955098,3.36604,-0.334936,3.33826,0.689784,2.92314,0.998739,3.41067,0.710711,0.728775,3.6768,2.66244,2.88578,3.48375,0.734164,1.05858,2.80406,0.758028,0.646646,0.783766,-0.270913,1.04381,3.63288,2.86971,2.91626,0.782301,1.0669,0.701637,2.94636,0.853168,1.09042,3.82567,2.6507,3.0918,3.02447,3.77641,1.11424,0.621116,0.77104,0.909442,3.10412,-0.199997,1.13838,3.84854,0.909364,2.82624,3.31237,3.92418,0.690519,0.932856,0.827313,0.956765,4.00091,2.57593,0.60966,3.04681,3.49445,0.72539,0.981077,4.07876,0.90939,3.49152,0.911876,2.7965,0.644498,3.56817,3.22887,0.807466,0.935779,0.591694,3.64628,2.53465,0.960091,0.726574,2.90861,3.72594,3.49135,0.892107,0.673771,3.49941,0.895004,2.64676,0.573214,0.811216,3.17109,3.57752,0.919317,2.47839,0.758412,3.65718,0.592124,2.90923,0.657855,0.896267,3.44454,2.74084,0.899574,0.843463,3.45407,2.41697,0.677181,0.742906,3.18269,3.53372,0.701188,3.01429,0.928924,2.47827,2.69042,0.762643,0.828368,3.4576,0.786669,3.46867,3.28921,2.7532,2.96534,0.811138,2.83106,3.56569,3.02966,3.24182,3.10754,3.18688
AJo,-2.04625,-2.05787,-2.0827,-0.934273,-0.658978,-0.506891,-0.496331,-1.21158,-0.428049,-1.20233,-0.0727364,-3.47688,0.920929,-3.45331,0.0283861,0.426491,-0.383056,0.927698,3.37168,1.33036,0.913893,0.613521,1.94877,0.903937,3.39997,4.78754,-0.35673,1.23393,0.692165,0.840856,0.917187,3.35359,2.55842,0.538355,0.862783,3.32158,0.747017,0.884861,4.47436,2.80962,3.11597,3.36537,0.616999,0.713609,0.852423,0.907095,2.31636,-0.299698,3.18692,0.71418,2.98458,0.671851,3.2585,0.714187,0.945849,2.56755,3.15267,2.87751,3.33074,0.737564,0.72739,2.88156,0.76135,0.660049,0.933051,-0.235883,0.709969,2.74252,2.87852,3.46242,0.785544,0.709969,0.714861,2.9549,0.992701,0.733346,2.91971,2.69314,3.41863,3.03276,2.86571,0.757132,0.613275,0.782021,1.05036,3.11218,-0.165197,0.781327,2.86268,1.05574,2.86811,3.61067,2.93908,0.680428,1.07918,0.845846,1.10293,3.01693,2.54889,0.599799,3.08156,3.79653,0.74426,1.12699,3.09633,0.926903,3.81086,0.929376,2.76234,0.663624,3.88625,3.28463,0.82193,0.953207,0.610991,3.96272,2.50133,0.97744,0.741294,2.96541,4.04032,3.54455,0.90629,0.670676,3.55258,0.909178,2.70441,0.597989,0.825661,3.21425,3.63044,0.933418,2.53645,0.755043,3.70984,0.595938,2.95325,0.682355,0.910436,3.48681,2.72664,0.913732,0.839818,3.49631,2.49561,0.680727,0.767131,3.22579,3.57571,0.704655,2.9992,0.925002,2.48823,2.76818,0.765904,0.852315,3.49983,0.789852,3.51087,3.27323,2.76226,3.0422,0.814242,2.83988,3.54879,3.03784,3.31778,3.11545,3.19453
