*,AA,KK,QQ,JJ,TT,99,88,AKs,77,AQs,AJs,AKo,ATs,AQo,AJo,KQs,66,A9s,ATo,KJs,A8s,KTs,KQo,A7s,A9o,KJo,55,QJs,K9s,A5s,A6s,A8o,KTo,QTs,A4s,A7o,K8s,A3s,QJo,K9o,A5o,A6o,Q9s,K7s,JTs,A2s,QTo,44,A4o,K6s,K8o,Q8s,A3o,K5s,J9s,Q9o,JTo,K7o,A2o,K4s,Q7s,K6o,K3s,T9s,J8s,33,Q6s,Q8o,K5o,J9o,K2s,Q5s,T8s,K4o,J7s,Q4s,Q7o,T9o,J8o,K3o,Q6o,Q3s,98s,T7s,J6s,K2o,22,Q2s,Q5o,J5s,T8o,J7o,Q4o,97s,J4s,T6s,J3s,Q3o,98o,87s,T7o,J6o,96s,J2s,Q2o,T5s,J5o,T4s,97o,86s,J4o,T6o,95s,T3s,76s,J3o,87o,T2s,85s,96o,J2o,T5o,94s,75s,T4o,93s,86o,65s,84s,95o,T3o,92s,76o,74s,T2o,54s,85o,64s,83s,94o,75o,82s,73s,93o,65o,53s,63s,84o,92o,43s,74o,72s,54o,64o,52s,62s,83o,42s,82o,73o,53o,63o,32s,43o,72o,52o,62o,42o,32o
AA,0,0.638922,0.630942,0.622962,0.614982,0.617212,0.609234,0.75719,0.609616,0.749218,0.741246,0.863438,0.733274,0.854724,0.84601,0.658714,0.60915,0.768646,0.837296,0.650628,0.760674,0.64254,0.742396,0.760688,0.875636,0.733646,0.617772,0.617752,0.65454,0.733862,0.764642,0.866922,0.724896,0.609666,0.741862,0.86694,0.678346,0.749862,0.69858,0.737402,0.837958,0.871236,0.621664,0.67026,0.57679,0.75786,0.68983,0.62657,0.846722,0.670018,0.762884,0.645472,0.855506,0.675164,0.58879,0.702336,0.654764,0.754164,0.86431,0.68328,0.670274,0.753906,0.691394,0.555916,0.612598,0.63542,0.66193,0.727818,0.759458,0.66727,0.69951,0.667076,0.579722,0.768272,0.637398,0.675192,0.754152,0.632204,0.692752,0.77711,0.745156,0.683308,0.558804,0.604524,0.661944,0.785982,0.644334,0.691422,0.750708,0.65899,0.657686,0.719086,0.759522,0.583606,0.667104,0.62907,0.67522,0.768362,0.63562,0.550732,0.68402,0.745146,0.608152,0.683336,0.777232,0.659004,0.74196,0.659018,0.661956,0.575278,0.750774,0.710078,0.638086,0.667132,0.550508,0.759612,0.62689,0.675248,0.605212,0.688014,0.768482,0.741948,0.670988,0.580442,0.742024,0.671002,0.652948,0.550024,0.638116,0.719882,0.750862,0.679118,0.62665,0.613346,0.759734,0.578128,0.684818,0.582928,0.671018,0.755014,0.65852,0.671032,0.646248,0.755114,0.626156,0.611034,0.61583,0.719948,0.763984,0.61918,0.69365,0.679152,0.656282,0.661288,0.643936,0.648734,0.755104,0.652088,0.755236,0.728804,0.691438,0.696442,0.66025,0.700252,0.763992,0.726626,0.73163,0.73544,0.744278
KK,-0.638922,0,0.638696,0.630716,0.622736,0.616332,0.617424,0.317872,0.609452,0.36309,0.35585,0.39761,0.348612,0.435784,0.427892,0.722638,0.609844,0.360964,0.42,0.714666,0.361406,0.706696,0.82602,0.354168,0.43284,0.817306,0.60969,0.645928,0.742066,0.333236,0.361436,0.433344,0.808592,0.637842,0.340502,0.425456,0.76842,0.34777,0.728756,0.846898,0.403046,0.433362,0.643938,0.760448,0.604966,0.355038,0.720006,0.618488,0.411002,0.760462,0.87541,0.651716,0.418984,0.75996,0.611062,0.726354,0.68494,0.866698,0.426998,0.76796,0.675524,0.86672,0.77596,0.578188,0.618842,0.627338,0.667436,0.734326,0.86618,0.691288,0.783958,0.66693,0.585968,0.874946,0.64265,0.675044,0.759812,0.656222,0.69926,0.883728,0.751098,0.68316,0.56505,0.609774,0.66745,0.892532,0.636252,0.691276,0.750562,0.658842,0.664194,0.724746,0.759376,0.581178,0.666958,0.634576,0.675072,0.768214,0.642104,0.558686,0.68968,0.751086,0.605978,0.683188,0.777086,0.658856,0.741812,0.65887,0.659286,0.583488,0.750626,0.71602,0.63026,0.666986,0.550616,0.759464,0.635506,0.6751,0.607768,0.685626,0.768336,0.741802,0.663162,0.574898,0.741876,0.663176,0.661846,0.550132,0.640672,0.711408,0.750714,0.671292,0.626784,0.6078,0.759586,0.549658,0.687628,0.583036,0.673574,0.746538,0.652566,0.673588,0.640704,0.746638,0.626272,0.582564,0.61594,0.722758,0.755508,0.59071,0.687696,0.673606,0.625812,0.661402,0.615466,0.648842,0.757914,0.623618,0.758046,0.72285,0.660968,0.696558,0.63178,0.669782,0.758038,0.696156,0.731746,0.70497,0.713808
QQ,-0.630942,-0.638696,0,0.63933,0.63135,0.623806,0.617402,0.07903,0.6185,0.314502,0.360502,0.135154,0.353264,0.393972,0.432994,0.293228,0.61054,0.365616,0.425102,0.358314,0.359228,0.351074,0.370716,0.362372,0.437942,0.430812,0.610384,0.683456,0.363428,0.334186,0.362386,0.430976,0.42292,0.675484,0.341454,0.434372,0.37156,0.34872,0.78359,0.43576,0.404056,0.434372,0.710778,0.372004,0.633398,0.355988,0.774878,0.619184,0.412012,0.364764,0.444068,0.73713,0.419994,0.364258,0.638672,0.813098,0.715398,0.444576,0.428008,0.371526,0.763484,0.436692,0.378792,0.605796,0.641372,0.628032,0.755512,0.841576,0.436158,0.720888,0.38606,0.75501,0.608498,0.444114,0.649152,0.763008,0.87009,0.685822,0.723562,0.452094,0.861382,0.771008,0.5799,0.616276,0.672958,0.46011,0.636948,0.779008,0.860842,0.66435,0.688496,0.731536,0.869608,0.587678,0.672466,0.640084,0.68058,0.87839,0.658102,0.565188,0.69647,0.757028,0.610444,0.688696,0.887194,0.664364,0.747754,0.664378,0.666076,0.581316,0.756568,0.721962,0.634724,0.672494,0.558828,0.765406,0.642272,0.680608,0.605596,0.690428,0.774278,0.747744,0.667626,0.583108,0.747818,0.66764,0.65946,0.550242,0.6385,0.71621,0.756656,0.675756,0.635684,0.616012,0.765528,0.549768,0.685242,0.583146,0.671402,0.75134,0.661464,0.671416,0.648914,0.75144,0.626408,0.582674,0.61605,0.720372,0.760312,0.59082,0.696594,0.681816,0.625948,0.661538,0.615576,0.648952,0.755526,0.623728,0.75566,0.73175,0.661102,0.696694,0.63189,0.669916,0.766938,0.69629,0.731882,0.705104,0.713944
JJ,-0.622962,-0.630716,-0.63933,0,0.639712,0.632166,0.624624,0.080776,0.618226,0.08231,0.309872,0.137018,0.356528,0.13846,0.388986,0.073396,0.619336,0.36888,0.428732,0.288596,0.36145,0.354338,0.129288,0.358804,0.441572,0.365732,0.610826,0.260214,0.366692,0.33375,0.369202,0.433466,0.426552,0.34496,0.341016,0.430532,0.374824,0.348284,0.334696,0.43939,0.403594,0.441816,0.357314,0.368436,0.64366,0.355552,0.41655,0.619626,0.411552,0.37158,0.447698,0.365446,0.419532,0.363822,0.678794,0.42939,0.74051,0.440734,0.427546,0.371088,0.37358,0.444138,0.378356,0.633992,0.705068,0.628476,0.374022,0.437696,0.435696,0.778562,0.385622,0.366262,0.63587,0.443652,0.73142,0.37353,0.446008,0.716028,0.806956,0.451634,0.446522,0.380798,0.60623,0.63857,0.757774,0.459648,0.63739,0.388064,0.43808,0.749286,0.717844,0.835436,0.446036,0.60893,0.757286,0.64635,0.765286,0.454018,0.68631,0.579802,0.72052,0.863952,0.616708,0.773286,0.462032,0.669636,0.854686,0.66965,0.688986,0.587582,0.863452,0.7285,0.639994,0.677764,0.565092,0.872234,0.658016,0.68588,0.609824,0.696968,0.881038,0.753432,0.672898,0.5807,0.753508,0.672912,0.665998,0.558216,0.642726,0.7219,0.762346,0.681026,0.642196,0.613602,0.771218,0.54964,0.689792,0.59112,0.67563,0.75703,0.658826,0.675644,0.646506,0.75713,0.635054,0.582546,0.624024,0.724922,0.766002,0.590694,0.693956,0.679408,0.625832,0.670186,0.61545,0.656926,0.760076,0.6236,0.76021,0.72911,0.660986,0.70534,0.631764,0.6698,0.764298,0.696174,0.740528,0.704988,0.713826
TT,-0.614982,-0.622736,-0.63135,-0.639712,0,0.640024,0.63248,0.08126,0.624942,0.082794,0.084328,0.137536,0.303978,0.138978,0.14042,0.07388,0.618558,0.370756,0.382656,0.075414,0.363326,0.28286,0.129808,0.35964,0.44373,0.13125,0.619118,0.060134,0.368648,0.339178,0.364248,0.435626,0.359568,0.254478,0.339192,0.431552,0.37678,0.34646,0.115118,0.441634,0.409568,0.436504,0.359348,0.36935,0.226158,0.353726,0.328534,0.619564,0.409618,0.366706,0.44994,0.36748,0.4176,0.369328,0.35011,0.431716,0.297562,0.441838,0.425614,0.369342,0.375614,0.43891,0.37661,0.646196,0.358244,0.628414,0.369226,0.440024,0.441754,0.421864,0.383876,0.371848,0.672312,0.441804,0.366378,0.371864,0.448334,0.743374,0.43017,0.449784,0.441376,0.37913,0.633952,0.698586,0.37451,0.457798,0.637328,0.386398,0.44422,0.374432,0.7716,0.43848,0.444272,0.635828,0.374446,0.72494,0.381714,0.452252,0.716012,0.605658,0.799996,0.446796,0.638528,0.388982,0.460266,0.750776,0.446752,0.75079,0.71783,0.608358,0.446802,0.82848,0.645786,0.75879,0.579234,0.454784,0.685722,0.76679,0.615616,0.720512,0.462798,0.856436,0.677696,0.586492,0.856476,0.67771,0.688404,0.564008,0.647524,0.727934,0.865258,0.685824,0.657436,0.617358,0.874062,0.557142,0.695826,0.588238,0.680428,0.762216,0.664858,0.680442,0.65026,0.762314,0.641064,0.590048,0.621142,0.730106,0.771186,0.590094,0.698002,0.683162,0.633972,0.667042,0.62295,0.654044,0.765262,0.623,0.765394,0.733156,0.669128,0.702196,0.631164,0.669178,0.768344,0.704316,0.737384,0.704366,0.713204
99,-0.617212,-0.616332,-0.623806,-0.632166,-0.640024,0,0.638722,0.05156,0.631184,0.053942,0.055478,0.105424,0.057012,0.107724,0.109166,0.051148,0.623658,0.327994,0.110608,0.052682,0.351746,0.054218,0.10493,0.348058,0.409022,0.106372,0.616724,0.038226,0.307428,0.320766,0.351624,0.423528,0.107814,0.03976,0.331164,0.419454,0.365384,0.331178,0.091096,0.386558,0.389998,0.423266,0.27936,0.357952,0.024542,0.338446,0.09254,0.62624,0.401334,0.354266,0.438036,0.356242,0.40141,0.3511,0.251198,0.35586,0.07647,0.429934,0.409424,0.361496,0.364374,0.425866,0.361512,0.223098,0.347162,0.626736,0.356944,0.428288,0.422378,0.325056,0.368778,0.353778,0.338146,0.433714,0.355296,0.364176,0.436598,0.294316,0.418604,0.433788,0.428502,0.36419,0.643396,0.34628,0.363428,0.441802,0.635652,0.371458,0.425014,0.35652,0.408982,0.426914,0.43635,0.669512,0.366918,0.354412,0.366932,0.436424,0.740434,0.632414,0.417292,0.435228,0.695786,0.374198,0.444438,0.362026,0.427712,0.369722,0.768662,0.634292,0.439048,0.425606,0.721622,0.369736,0.604122,0.439124,0.714384,0.377002,0.63647,0.797062,0.447138,0.433364,0.75596,0.606302,0.44181,0.755974,0.716208,0.577182,0.65235,0.824986,0.441886,0.763974,0.684102,0.622184,0.4499,0.561968,0.71833,0.593064,0.68426,0.862248,0.686224,0.684274,0.654092,0.862304,0.655264,0.5862,0.62393,0.735102,0.871108,0.596628,0.702996,0.686994,0.638942,0.672036,0.619102,0.656832,0.769408,0.629536,0.76954,0.737302,0.664946,0.705202,0.629598,0.67628,0.77249,0.700132,0.74039,0.711468,0.711544
88,-0.609234,-0.617424,-0.617402,-0.624624,-0.63248,-0.638722,0,0.049518,0.636412,0.051902,0.053436,0.10323,0.05497,0.105554,0.106996,0.025642,0.628888,0.086006,0.108438,0.028026,0.318942,0.02956,0.077404,0.347156,0.141904,0.079704,0.620812,0.018944,0.060676,0.318822,0.350722,0.399328,0.081146,0.020478,0.32343,0.418666,0.322568,0.333828,0.070032,0.114696,0.38807,0.422478,0.051672,0.346554,0.006162,0.333842,0.071476,0.622834,0.393076,0.342866,0.403254,0.295132,0.404436,0.338658,0.037436,0.105108,0.056348,0.418034,0.404544,0.343268,0.353238,0.413966,0.353664,0.022438,0.267364,0.6324,0.345806,0.373262,0.40934,0.090066,0.353678,0.341598,0.239502,0.414344,0.344396,0.346208,0.424976,0.074228,0.34288,0.425704,0.41688,0.356604,0.219906,0.335616,0.352528,0.425812,0.632962,0.356618,0.412252,0.344578,0.31239,0.415544,0.417256,0.335196,0.349186,0.34375,0.359582,0.428616,0.290942,0.639304,0.406174,0.42386,0.343328,0.359598,0.428724,0.351362,0.415204,0.352226,0.405888,0.66542,0.420208,0.41449,0.35094,0.362624,0.62993,0.431568,0.736108,0.362638,0.691178,0.414204,0.431676,0.422246,0.366328,0.631286,0.423222,0.374024,0.76434,0.601122,0.725516,0.42196,0.434584,0.374038,0.711752,0.642088,0.434692,0.574192,0.79218,0.611926,0.759856,0.43821,0.713016,0.75987,0.657968,0.446682,0.680916,0.590076,0.627806,0.82941,0.44679,0.600504,0.724488,0.689876,0.65213,0.692388,0.62094,0.659714,0.866688,0.624738,0.866766,0.741284,0.668926,0.709184,0.635182,0.680238,0.775624,0.702126,0.743524,0.706274,0.717634
AKs,-0.75719,-0.317872,-0.07903,-0.080776,-0.08126,-0.05156,-0.049518,0,-0.046206,0.425544,0.420202,0.049842,0.41486,0.508926,0.50296,0.428572,-0.046118,0.423868,0.496994,0.42323,0.41886,0.417888,0.511826,0.413912,0.50772,0.505862,-0.039312,0.270562,0.454512,0.39634,0.418572,0.5021,0.499896,0.264462,0.40486,0.496542,0.449678,0.41344,0.328896,0.540578,0.477204,0.501522,0.289008,0.44496,0.240156,0.422078,0.32237,-0.028264,0.48645,0.446164,0.535136,0.305662,0.495788,0.454682,0.2647,0.348248,0.296782,0.529816,0.50523,0.463608,0.32378,0.531016,0.47265,0.240394,0.281354,-0.015878,0.316512,0.36589,0.53997,0.32266,0.481808,0.322312,0.257048,0.549632,0.299472,0.329134,0.384848,0.297072,0.340304,0.559446,0.377138,0.336076,0.257648,0.275166,0.31652,0.569424,-0.002134,0.343136,0.383084,0.316212,0.314716,0.359262,0.390388,0.251902,0.323034,0.292214,0.329976,0.397848,0.316242,0.227952,0.333674,0.377134,0.26895,0.337036,0.405476,0.316218,0.376558,0.316934,0.310076,0.245,0.383862,0.351546,0.292954,0.323876,0.22117,0.391322,0.284846,0.330936,0.269004,0.327948,0.39895,0.376552,0.317986,0.245176,0.377336,0.31882,0.302718,0.221892,0.294034,0.352954,0.384794,0.32588,0.27761,0.270208,0.392422,0.226764,0.327724,0.246924,0.319184,0.37932,0.302616,0.320136,0.295356,0.380258,0.278342,0.251918,0.272074,0.354088,0.387886,0.258906,0.32898,0.320622,0.283164,0.304708,0.277184,0.29734,0.380608,0.28418,0.381716,0.3555,0.309684,0.331228,0.291312,0.317108,0.382188,0.336372,0.357916,0.343796,0.351374
77,-0.609616,-0.609452,-0.6185,-0.618226,-0.624942,-0.631184,-0.636412,0.046206,0,0.037856,0.04024,0.099678,0.041774,0.09064,0.092964,0.022568,0.632842,0.07281,0.094408,0.02495,0.074344,0.026486,0.07411,0.311584,0.127872,0.076436,0.624768,-0.007516,0.0576,0.31542,0.34732,0.129318,0.077878,-0.005134,0.318986,0.391508,0.081276,0.323594,0.041492,0.111428,0.384638,0.419046,0.026062,0.312402,-0.013996,0.333992,0.043794,0.62565,0.388504,0.340884,0.136874,0.049814,0.393532,0.336676,0.017278,0.077426,0.034352,0.39238,0.404926,0.340242,0.309238,0.412034,0.34485,0.003262,0.04111,0.62772,0.333406,0.102956,0.407406,0.06807,0.355248,0.329198,0.027174,0.411272,0.282178,0.332764,0.388862,0.053258,0.093684,0.4163,0.40392,0.337372,0.019948,0.25479,0.340468,0.427694,0.637352,0.34777,0.399294,0.332516,0.078956,0.35927,0.403158,0.23551,0.336082,0.332004,0.34069,0.408186,0.071598,0.21526,0.329288,0.411262,0.3319,0.351088,0.41958,0.339616,0.402606,0.33944,0.308174,0.330816,0.406472,0.40223,0.339512,0.344048,0.634432,0.4115,0.285994,0.354444,0.338428,0.40228,0.422894,0.409986,0.354898,0.660034,0.409822,0.355762,0.401256,0.625734,0.353814,0.410036,0.41485,0.36616,0.730962,0.694294,0.426244,0.596938,0.409012,0.635714,0.369202,0.426284,0.758634,0.376898,0.728632,0.427286,0.707292,0.607742,0.646516,0.425262,0.438678,0.611534,0.795778,0.76297,0.67651,0.717906,0.623622,0.662396,0.441534,0.627418,0.45004,0.833024,0.688006,0.729404,0.637864,0.692152,0.870324,0.704836,0.746232,0.708982,0.720318
AQs,-0.749218,-0.36309,-0.314502,-0.08231,-0.082794,-0.053942,-0.051902,-0.425544,-0.037856,0,0.416298,-0.40246,0.410956,0.049842,0.499158,0.428352,-0.039694,0.41325,0.493192,0.235366,0.408162,0.229266,0.511624,0.410546,0.496574,0.293398,-0.03289,0.399434,0.253026,0.386164,0.408478,0.49087,0.286872,0.394092,0.394606,0.49356,0.269678,0.403104,0.479954,0.31193,0.46677,0.491168,0.430716,0.266184,0.244048,0.411662,0.47399,-0.02184,0.475934,0.258918,0.329574,0.425882,0.485188,0.264716,0.267988,0.514654,0.300602,0.326024,0.494548,0.27154,0.448708,0.318302,0.278482,0.243682,0.284642,-0.009456,0.443262,0.509212,0.324248,0.325844,0.285542,0.45178,0.260336,0.331552,0.305604,0.460706,0.533926,0.300256,0.343486,0.339012,0.527836,0.469748,0.237072,0.281298,0.322202,0.34664,0.004288,0.478906,0.53679,0.321894,0.3179,0.365562,0.546452,0.258034,0.328716,0.297894,0.335658,0.556266,0.29429,0.234084,0.339976,0.382964,0.26842,0.342718,0.566244,0.3219,0.382388,0.322616,0.316366,0.24447,0.389694,0.357378,0.292426,0.329558,0.22891,0.397154,0.291134,0.336618,0.268474,0.327156,0.40478,0.382382,0.317456,0.252916,0.383166,0.31829,0.301924,0.223524,0.293506,0.352162,0.390626,0.32535,0.28582,0.277946,0.398254,0.228398,0.32693,0.248558,0.318654,0.378526,0.310826,0.319606,0.303096,0.379464,0.280018,0.25355,0.273706,0.353296,0.387092,0.26054,0.33719,0.328362,0.28484,0.306384,0.278816,0.298974,0.379816,0.285812,0.380922,0.36371,0.31136,0.332904,0.292946,0.318784,0.390398,0.338048,0.359592,0.345472,0.35305
AJs,-0.741246,-0.35585,-0.360502,-0.309872,-0.084328,-0.055478,-0.053436,-0.420202,-0.04024,-0.416298,0,-0.396578,0.397432,-0.393232,0.049842,0.179402,-0.031344,0.401254,0.478886,0.42545,0.396086,0.235552,0.236218,0.392586,0.483926,0.508444,-0.026468,0.397924,0.259312,0.368808,0.397852,0.478142,0.293326,0.21295,0.37717,0.474404,0.275966,0.385588,0.478444,0.318384,0.448488,0.48026,0.23671,0.266258,0.370296,0.394064,0.269318,-0.015418,0.45757,0.266658,0.336028,0.253364,0.466746,0.26635,0.40692,0.294376,0.448082,0.325852,0.476022,0.273174,0.270226,0.326512,0.280114,0.247574,0.402086,-0.003034,0.26521,0.31202,0.325924,0.488748,0.287174,0.264902,0.264228,0.333228,0.424912,0.271726,0.329868,0.304074,0.483304,0.340688,0.324762,0.278668,0.234754,0.284586,0.447008,0.348316,0.010712,0.285728,0.324174,0.448876,0.321718,0.508002,0.331478,0.255112,0.457804,0.304028,0.466846,0.338938,0.291496,0.23116,0.343158,0.531946,0.274552,0.476004,0.346566,0.327582,0.53361,0.328298,0.312936,0.250602,0.543272,0.363678,0.29713,0.33524,0.235042,0.553086,0.287706,0.3423,0.27318,0.333456,0.563064,0.388214,0.32216,0.252386,0.388998,0.322994,0.308226,0.231264,0.29821,0.35695,0.396458,0.330054,0.292108,0.277418,0.404086,0.23003,0.33172,0.256298,0.323358,0.383314,0.310032,0.324312,0.302566,0.384254,0.288228,0.255184,0.281446,0.358084,0.391882,0.262172,0.336398,0.327832,0.286516,0.314594,0.28045,0.306712,0.384604,0.287446,0.38571,0.362918,0.313036,0.341114,0.294578,0.32046,0.389606,0.339724,0.367802,0.347148,0.354726
AKo,-0.863438,-0.39761,-0.135154,-0.137018,-0.137536,-0.105424,-0.10323,-0.049842,-0.099678,0.40246,0.396578,0,0.390696,0.487878,0.481332,0.408468,-0.099772,0.399146,0.474788,0.402572,0.393636,0.396674,0.495478,0.388174,0.48483,0.488934,-0.092344,0.221404,0.435072,0.369166,0.393148,0.478652,0.482388,0.214956,0.378344,0.472546,0.429814,0.387584,0.296674,0.524826,0.4517,0.477822,0.239994,0.424586,0.189722,0.396888,0.289632,-0.080624,0.461586,0.42578,0.518842,0.25689,0.471558,0.435236,0.21476,0.316274,0.262432,0.512984,0.481624,0.444872,0.27583,0.514144,0.454632,0.189526,0.231656,-0.06751,0.268112,0.334264,0.523992,0.289076,0.46452,0.274542,0.206422,0.53432,0.250596,0.281762,0.354634,0.261876,0.307066,0.544798,0.346276,0.289106,0.206572,0.22536,0.26812,0.55543,-0.052984,0.296576,0.353002,0.268096,0.279868,0.327436,0.36085,0.200622,0.275314,0.242886,0.282658,0.36885,0.28125,0.175778,0.300238,0.346258,0.218146,0.290128,0.37701,0.268102,0.34596,0.268866,0.274604,0.193302,0.353808,0.31906,0.243364,0.27621,0.168588,0.361808,0.247796,0.283682,0.21852,0.293426,0.369968,0.345942,0.269368,0.193806,0.346766,0.270258,0.26662,0.169352,0.244526,0.320308,0.354766,0.27773,0.239942,0.219812,0.362926,0.175162,0.2935,0.195358,0.270658,0.348312,0.266824,0.271674,0.245944,0.349288,0.24069,0.201296,0.22149,0.321506,0.357448,0.208672,0.294828,0.272202,0.246968,0.268696,0.227554,0.247748,0.349662,0.234934,0.350798,0.322986,0.275124,0.296852,0.242454,0.2831,0.3513,0.30344,0.325166,0.311414,0.31954
ATs,-0.733274,-0.348612,-0.353264,-0.356528,-0.303978,-0.057012,-0.05497,-0.41486,-0.041774,-0.410956,-0.397432,-0.390696,0,-0.387352,-0.373502,0.181036,-0.033728,0.383026,0.049842,0.180194,0.377776,0.422548,0.237894,0.373622,0.464474,0.236766,-0.018118,0.161088,0.265598,0.351292,0.373,0.458606,0.505264,0.395022,0.352924,0.454152,0.282252,0.361262,0.216352,0.324838,0.430058,0.453582,0.242996,0.271568,0.367498,0.369658,0.475264,-0.008996,0.431768,0.266732,0.34248,0.25965,0.44086,0.27409,0.220396,0.30083,0.445264,0.331264,0.450056,0.274806,0.276514,0.32634,0.281748,0.383124,0.23705,0.00339,0.265286,0.318474,0.334134,0.276824,0.288808,0.272642,0.37829,0.334904,0.253912,0.27336,0.336322,0.46284,0.294466,0.342364,0.32459,0.2803,0.237668,0.401116,0.269254,0.349992,0.017134,0.28736,0.332384,0.271196,0.457398,0.312314,0.333156,0.258026,0.271912,0.423212,0.278854,0.340614,0.294272,0.234076,0.482096,0.328606,0.276864,0.285914,0.348242,0.452622,0.330634,0.4549,0.315712,0.252914,0.331406,0.506022,0.303262,0.463942,0.232118,0.338866,0.290482,0.4731,0.279312,0.335598,0.346492,0.53772,0.327842,0.25852,0.540092,0.328676,0.310368,0.237396,0.303892,0.36325,0.549906,0.335736,0.28868,0.282122,0.559884,0.23777,0.33802,0.255768,0.32904,0.389146,0.316334,0.329994,0.30727,0.390086,0.294518,0.262922,0.280916,0.363916,0.397712,0.263806,0.341186,0.332538,0.294726,0.3138,0.28819,0.306184,0.390436,0.289078,0.391542,0.367706,0.321246,0.34032,0.296212,0.322136,0.394394,0.347934,0.367008,0.348824,0.356402
AQo,-0.854724,-0.435784,-0.393972,-0.13846,-0.138978,-0.107724,-0.105554,-0.508926,-0.09064,-0.049842,0.393232,-0.487878,0.387352,0,0.478104,0.408248,-0.092756,0.388472,0.471558,0.183636,0.38288,0.1772,0.490356,0.385198,0.473636,0.257632,-0.085326,0.376906,0.201442,0.3588,0.382864,0.467364,0.25059,0.37101,0.367894,0.469944,0.218352,0.377052,0.461198,0.2764,0.441054,0.46726,0.409408,0.214628,0.1945,0.386272,0.454652,-0.073606,0.450858,0.206936,0.294378,0.40415,0.460746,0.213366,0.218916,0.497088,0.267678,0.290552,0.470726,0.220572,0.428664,0.282182,0.227904,0.193682,0.235812,-0.060492,0.422616,0.49109,0.288906,0.293674,0.235362,0.432072,0.210578,0.296756,0.257136,0.441708,0.517416,0.266476,0.311652,0.304756,0.51069,0.451468,0.185838,0.231902,0.274426,0.312914,-0.045966,0.461356,0.52054,0.274402,0.284454,0.334242,0.530868,0.207162,0.28162,0.249192,0.288966,0.541346,0.258818,0.182318,0.307044,0.35289,0.217876,0.296436,0.551978,0.27441,0.35259,0.275174,0.281408,0.193022,0.36044,0.32569,0.243094,0.282518,0.176798,0.36844,0.25459,0.289988,0.21824,0.29289,0.376598,0.352572,0.2691,0.202016,0.353398,0.26999,0.266072,0.17112,0.244246,0.319772,0.361398,0.27746,0.248828,0.228022,0.369556,0.17693,0.292954,0.197126,0.270378,0.347778,0.275708,0.271394,0.254154,0.348754,0.242538,0.203064,0.223258,0.32096,0.356912,0.21044,0.303714,0.280412,0.248816,0.270544,0.229322,0.249516,0.349116,0.236704,0.35025,0.33187,0.276974,0.2987,0.244222,0.284948,0.360186,0.305288,0.327016,0.313264,0.32139
AJo,-0.84601,-0.427892,-0.432994,-0.388986,-0.14042,-0.109166,-0.106996,-0.50296,-0.092964,-0.499158,-0.049842,-0.481332,0.373502,-0.478104,0,0.126466,-0.083718,0.376284,0.45692,0.405084,0.37061,0.184118,0.195236,0.366518,0.460796,0.48692,-0.078308,0.37536,0.20836,0.340592,0.371964,0.454442,0.257878,0.160948,0.349604,0.450056,0.225268,0.358678,0.45474,0.283688,0.421888,0.456056,0.18519,0.21497,0.345346,0.367816,0.233006,-0.066588,0.431608,0.215146,0.301666,0.202098,0.441414,0.215148,0.383744,0.258816,0.426916,0.290664,0.451312,0.222354,0.219218,0.29108,0.229686,0.19846,0.378484,-0.053474,0.213848,0.276794,0.290768,0.469352,0.237144,0.213848,0.215356,0.298616,0.403,0.221054,0.295,0.27172,0.463352,0.306616,0.289452,0.228386,0.184042,0.236058,0.426696,0.314776,-0.038948,0.235844,0.28914,0.428908,0.289698,0.489662,0.29699,0.204742,0.438544,0.255732,0.448306,0.30499,0.256898,0.179888,0.31163,0.515124,0.224418,0.458192,0.313148,0.280718,0.517088,0.28148,0.27883,0.199562,0.527416,0.332496,0.24836,0.288826,0.183338,0.537892,0.252012,0.296296,0.223504,0.299696,0.548524,0.359202,0.274364,0.201736,0.360028,0.275254,0.272878,0.17933,0.24951,0.325264,0.368028,0.282726,0.25562,0.227742,0.376186,0.178698,0.298446,0.205336,0.275642,0.35327,0.275162,0.276658,0.253874,0.354246,0.251424,0.204834,0.231468,0.32645,0.362404,0.21221,0.303168,0.280132,0.250666,0.27943,0.23109,0.257726,0.354608,0.238472,0.355742,0.331324,0.278822,0.307586,0.24599,0.286798,0.359638,0.307138,0.335902,0.315112,0.323238
